transaction_id,customer_id,transaction_date,product_id,quantity,unit_price,unit_cost,category,total_amount,total_cost,margin
TRX_07269,CUST_0559,2023-02-24 21:06:25.352892,PROD_008,2,3863.62,1945.45,C,7727.24,3890.9,3836.3399999999997
TRX_08163,CUST_0041,2023-02-24 21:06:25.352892,PROD_012,1,2238.69,1000.42,B,2238.69,1000.42,1238.27
TRX_08420,CUST_0311,2023-02-24 21:06:25.352892,PROD_018,8,1252.16,565.29,B,10017.28,4522.32,5494.960000000001
TRX_07821,CUST_0611,2023-02-24 21:06:25.352892,PROD_010,1,2371.76,1797.48,A,2371.76,1797.48,574.2800000000002
TRX_02006,CUST_0355,2023-02-24 21:06:25.352892,PROD_016,2,1150.83,720.2,C,2301.66,1440.4,861.2599999999998
TRX_08780,CUST_0525,2023-02-24 21:06:25.352892,PROD_013,7,1832.29,982.91,C,12826.029999999999,6880.37,5945.659999999999
TRX_09319,CUST_0170,2023-02-24 21:06:25.352892,PROD_014,3,1217.51,704.43,C,3652.5299999999997,2113.29,1539.2399999999998
TRX_01945,CUST_0567,2023-02-24 21:06:25.352892,PROD_027,2,779.45,481.39,C,1558.9,962.78,596.1200000000001
TRX_02222,CUST_0788,2023-02-24 21:06:25.352892,PROD_008,9,3863.62,1945.45,C,34772.58,17509.05,17263.530000000002
TRX_01684,CUST_0452,2023-02-24 21:06:25.352892,PROD_013,9,1832.29,982.91,C,16490.61,8846.19,7644.42
TRX_04451,CUST_0460,2023-02-24 21:06:25.352892,PROD_040,9,350.07,212.5,B,3150.63,1912.5,1238.13
TRX_09186,CUST_0047,2023-02-24 21:06:25.352892,PROD_023,4,1571.04,937.74,C,6284.16,3750.96,2533.2
TRX_08831,CUST_0935,2023-02-24 21:06:25.352892,PROD_004,2,2138.79,1151.56,A,4277.58,2303.12,1974.46
TRX_09020,CUST_0257,2023-02-24 21:06:25.352892,PROD_019,6,2818.63,2168.59,A,16911.78,13011.54,3900.239999999998
TRX_08714,CUST_0339,2023-02-24 21:06:25.352892,PROD_014,8,1217.51,704.43,C,9740.08,5635.44,4104.64
TRX_08425,CUST_0015,2023-02-24 21:06:25.352892,PROD_033,1,1277.14,753.49,B,1277.14,753.49,523.6500000000001
TRX_02749,CUST_0106,2023-02-24 21:06:25.352892,PROD_019,2,2818.63,2168.59,A,5637.26,4337.18,1300.08
TRX_07957,CUST_0887,2023-02-24 21:06:25.352892,PROD_011,2,1261.29,981.75,C,2522.58,1963.5,559.0799999999999
TRX_06791,CUST_0636,2023-02-24 21:06:25.352892,PROD_010,8,2371.76,1797.48,A,18974.08,14379.84,4594.240000000002
TRX_03520,CUST_0924,2023-02-25 21:06:25.352892,PROD_005,6,3619.52,2769.28,C,21717.12,16615.68,5101.439999999999
TRX_07435,CUST_0693,2023-02-25 21:06:25.352892,PROD_010,2,2371.76,1797.48,A,4743.52,3594.96,1148.5600000000004
TRX_06129,CUST_0885,2023-02-25 21:06:25.352892,PROD_021,3,773.23,433.97,B,2319.69,1301.91,1017.78
TRX_07331,CUST_0753,2023-02-25 21:06:25.352892,PROD_012,7,2238.69,1000.42,B,15670.83,7002.94,8667.89
TRX_05974,CUST_0373,2023-02-25 21:06:25.352892,PROD_026,5,1097.93,496.32,A,5489.650000000001,2481.6,3008.0500000000006
TRX_07691,CUST_0632,2023-02-25 21:06:25.352892,PROD_016,5,1150.83,720.2,C,5754.15,3601.0,2153.1499999999996
TRX_06503,CUST_0225,2023-02-25 21:06:25.352892,PROD_005,4,3619.52,2769.28,C,14478.08,11077.12,3400.959999999999
TRX_01249,CUST_0937,2023-02-25 21:06:25.352892,PROD_014,9,1217.51,704.43,C,10957.59,6339.87,4617.72
TRX_06424,CUST_0782,2023-02-25 21:06:25.352892,PROD_023,7,1571.04,937.74,C,10997.279999999999,6564.18,4433.0999999999985
TRX_00401,CUST_0899,2023-02-25 21:06:25.352892,PROD_019,1,2818.63,2168.59,A,2818.63,2168.59,650.04
TRX_02216,CUST_0977,2023-02-25 21:06:25.352892,PROD_000,1,3477.55,2692.13,C,3477.55,2692.13,785.4200000000001
TRX_07980,CUST_0584,2023-02-25 21:06:25.352892,PROD_002,4,2092.37,1191.71,B,8369.48,4766.84,3602.6399999999994
TRX_07268,CUST_0874,2023-02-25 21:06:25.352892,PROD_019,6,2818.63,2168.59,A,16911.78,13011.54,3900.239999999998
TRX_07056,CUST_0725,2023-02-26 21:06:25.352892,PROD_021,3,773.23,433.97,B,2319.69,1301.91,1017.78
TRX_01927,CUST_0735,2023-02-26 21:06:25.352892,PROD_011,2,1261.29,981.75,C,2522.58,1963.5,559.0799999999999
TRX_02970,CUST_0122,2023-02-26 21:06:25.352892,PROD_015,8,2334.71,1409.27,A,18677.68,11274.16,7403.52
TRX_08623,CUST_0224,2023-02-26 21:06:25.352892,PROD_003,7,3651.36,2409.85,C,25559.52,16868.95,8690.57
TRX_08024,CUST_0725,2023-02-26 21:06:25.352892,PROD_016,7,1150.83,720.2,C,8055.8099999999995,5041.400000000001,3014.409999999999
TRX_00072,CUST_0325,2023-02-26 21:06:25.352892,PROD_006,9,2005.7,1109.97,B,18051.3,9989.73,8061.57
TRX_05131,CUST_0490,2023-02-27 21:06:25.352892,PROD_008,3,3863.62,1945.45,C,11590.86,5836.35,5754.51
TRX_08238,CUST_0149,2023-02-27 21:06:25.352892,PROD_014,5,1217.51,704.43,C,6087.55,3522.1499999999996,2565.4000000000005
TRX_04490,CUST_0966,2023-02-27 21:06:25.352892,PROD_008,8,3863.62,1945.45,C,30908.96,15563.6,15345.359999999999
TRX_06896,CUST_0430,2023-02-27 21:06:25.352892,PROD_001,4,4919.6,3065.48,B,19678.4,12261.92,7416.480000000001
TRX_04458,CUST_0461,2023-02-27 21:06:25.352892,PROD_006,9,2005.7,1109.97,B,18051.3,9989.73,8061.57
TRX_01028,CUST_0179,2023-02-27 21:06:25.352892,PROD_007,4,2892.56,2205.63,C,11570.24,8822.52,2747.7199999999993
TRX_01353,CUST_0677,2023-02-27 21:06:25.352892,PROD_009,1,4047.44,2246.43,C,4047.44,2246.43,1801.0100000000002
TRX_06639,CUST_0092,2023-02-27 21:06:25.352892,PROD_016,8,1150.83,720.2,C,9206.64,5761.6,3445.039999999999
TRX_00784,CUST_0670,2023-02-27 21:06:25.352892,PROD_012,1,2238.69,1000.42,B,2238.69,1000.42,1238.27
TRX_03368,CUST_0656,2023-02-27 21:06:25.352892,PROD_026,1,1097.93,496.32,A,1097.93,496.32,601.6100000000001
TRX_04709,CUST_0047,2023-02-27 21:06:25.352892,PROD_012,3,2238.69,1000.42,B,6716.07,3001.2599999999998,3714.81
TRX_06801,CUST_0741,2023-02-27 21:06:25.352892,PROD_031,8,1628.92,1272.57,B,13031.36,10180.56,2850.800000000001
TRX_01765,CUST_0603,2023-02-27 21:06:25.352892,PROD_004,2,2138.79,1151.56,A,4277.58,2303.12,1974.46
TRX_01800,CUST_0637,2023-02-27 21:06:25.352892,PROD_001,6,4919.6,3065.48,B,29517.600000000002,18392.88,11124.720000000001
TRX_04284,CUST_0703,2023-02-27 21:06:25.352892,PROD_022,8,1778.38,1357.37,B,14227.04,10858.96,3368.0800000000017
TRX_02516,CUST_0528,2023-02-28 21:06:25.352892,PROD_038,6,814.93,631.74,C,4889.58,3790.44,1099.1399999999999
TRX_01478,CUST_0472,2023-02-28 21:06:25.352892,PROD_019,4,2818.63,2168.59,A,11274.52,8674.36,2600.16
TRX_02119,CUST_0533,2023-02-28 21:06:25.352892,PROD_011,6,1261.29,981.75,C,7567.74,5890.5,1677.2399999999998
TRX_01951,CUST_0295,2023-02-28 21:06:25.352892,PROD_037,9,196.41,92.23,B,1767.69,830.07,937.62
TRX_09123,CUST_0831,2023-02-28 21:06:25.352892,PROD_014,6,1217.51,704.43,C,7305.0599999999995,4226.58,3078.4799999999996
TRX_06562,CUST_0692,2023-02-28 21:06:25.352892,PROD_013,2,1832.29,982.91,C,3664.58,1965.82,1698.76
TRX_03757,CUST_0713,2023-02-28 21:06:25.352892,PROD_012,3,2238.69,1000.42,B,6716.07,3001.2599999999998,3714.81
TRX_06976,CUST_0849,2023-02-28 21:06:25.352892,PROD_014,6,1217.51,704.43,C,7305.0599999999995,4226.58,3078.4799999999996
TRX_05053,CUST_0238,2023-02-28 21:06:25.352892,PROD_033,9,1277.14,753.49,B,11494.26,6781.41,4712.85
TRX_03698,CUST_0153,2023-02-28 21:06:25.352892,PROD_009,3,4047.44,2246.43,C,12142.32,6739.289999999999,5403.030000000001
TRX_02044,CUST_0001,2023-02-28 21:06:25.352892,PROD_010,7,2371.76,1797.48,A,16602.32,12582.36,4019.959999999999
